Price_signal,Price_profile,Price_level,Hour,Experiment_price_NOK_kWh
P0_30,P0,30,4,0
P0_30,P0,30,5,0
P0_30,P0,30,6,0
P0_30,P0,30,7,0
P0_30,P0,30,8,0
P0_30,P0,30,9,0
P0_30,P0,30,10,0
P0_30,P0,30,11,0
P0_30,P0,30,12,0
P0_30,P0,30,13,0
P0_30,P0,30,14,0
P0_30,P0,30,15,0
P0_30,P0,30,16,0
P0_30,P0,30,17,29.85
P0_30,P0,30,18,30.15
P0_30,P0,30,19,0
P0_30,P0,30,20,0
P0_30,P0,30,21,0
P0_30,P0,30,22,0
P0_30,P0,30,23,0
P0_30,P0,30,24,0
P_5,P,5,1,1
P_5,P,5,2,0.99
P_5,P,5,3,0.95
P_5,P,5,4,0.95
P_5,P,5,5,0.96
P_5,P,5,6,1
P_5,P,5,7,1
P_5,P,5,8,1.02
P_5,P,5,9,1.04
P_5,P,5,10,1.03
P_5,P,5,11,1.02
P_5,P,5,12,1.01
P_5,P,5,13,1.06
P_5,P,5,14,1.06
P_5,P,5,15,1.09
P_5,P,5,16,1.2
P_5,P,5,17,4.98
P_5,P,5,18,5.03
P_5,P,5,19,1.2
P_5,P,5,20,1.1
P_5,P,5,21,1.1
P_5,P,5,22,1.1
P_5,P,5,23,1.06
P_5,P,5,24,1
