ID,Q_Age,Q_Gender,Q_City,Q1,Q4,Q7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q14,Q15,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q24,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q28,Q29,Q32,Percentage_Change
67,61,1,4,1,1,2,1,0,0,1,1,1,0,0,0,0,0,1,1,4,2,4,5,5,1,8,1,1,1,0,0,1,0,0,0,0,0,1,1,1,-13.19667173637863
68,79,1,4,1,3,3,1,0,0,1,0,0,0,0,0,0,0,1,1,5,2,6,5,5,4,4,1,0,0,0,0,0,0,1,0,0,0,4,2,5,-6.709331052535273
70,73,1,4,1,3,2,1,1,1,1,0,0,0,0,0,0,0,1,2,5,1,6,5,1,4,2,1,0,0,0,0,0,0,1,0,0,0,4,2,6,-12.843793266954984
72,66,1,4,2,2,2,0,0,0,0,1,0,0,0,0,0,0,2,1,3,2,5,5,5,1,8,1,1,0,1,0,1,0,0,0,0,0,1,1,6,-20.878985692146056
75,79,1,5,2,2,2,0,0,0,0,0,0,0,0,0,1,0,5,3,6,2,6,4,3,1,7,1,1,1,0,0,1,0,0,0,0,0,1,2,2,-19.18517764413191
76,70,1,4,1,4,2,1,1,1,0,0,1,1,0,0,0,0,1,2,4,2,6,4,5,1,9,1,0,1,1,0,1,0,0,0,0,0,1,1,2,-17.335254975261915
85,66,1,5,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,3,1,6,5,2,4,5,1,1,0,0,0,0,0,0,0,0,0,1,1,3,-25.334464228472896
88,72,2,4,1,3,2,0,0,0,0,0,1,0,0,0,0,0,1,2,9,1,6,5,3,4,4,1,0,0,0,0,0,0,1,0,0,0,4,2,6,14.872787062537274
92,61,1,4,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,5,3,6,4,5,4,7,1,1,1,0,0,0,0,0,0,0,0,4,2,1,-1.9458210253598174
96,71,2,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,8,3,6,5,8,3,6,1,1,1,0,0,1,0,0,0,0,0,1,2,1,-41.80654466845415
100,70,2,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,2,6,2,6,5,5,4,5,1,1,0,0,0,1,0,0,0,0,0,1,2,1,-34.92070225970358
107,67,1,4,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,8,1,6,5,2,4,6,1,1,1,0,0,0,0,0,0,0,0,4,2,1,-18.569882846205754
109,77,1,5,1,3,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,1,6,4,2,4,4,1,0,0,1,0,0,0,0,0,0,0,1,1,3,-16.009838465403103
115,66,1,4,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,4,2,6,5,5,1,9,1,1,1,0,0,1,0,0,0,0,0,1,1,1,4.485625734393217
119,82,1,4,1,5,3,0,0,1,0,0,0,0,0,0,0,0,4,2,6,2,6,5,5,4,7,1,0,0,0,0,1,0,1,0,0,0,4,2,2,-19.83071460860961
133,75,2,4,1,3,2,1,1,0,0,0,1,0,0,0,0,0,1,1,6,2,6,4,3,2,7,2,1,0,0,0,1,0,0,0,0,0,1,1,6,5.19300566483103
134,55,2,5,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,2,5,2,5,5,5,4,4,1,0,1,0,0,0,0,0,1,0,0,4,2,3,15.425261519281008
135,62,1,4,1,3,2,1,0,0,1,0,0,0,0,0,0,0,1,2,6,4,6,5,5,1,6,1,1,0,0,0,1,0,0,0,0,0,1,2,1,-6.728757738997837
142,75,1,5,1,2,1,0,1,1,1,1,0,0,0,0,0,0,1,1,5,5,6,2,2,2,9,1,1,0,1,0,0,0,0,0,0,0,1,2,1,2.7017543266201205
149,53,1,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,3,5,2,6,4,1,4,4,1,1,1,0,0,0,0,0,0,0,0,4,2,1,-19.61221187578911
150,75,1,4,1,2,2,0,0,1,0,0,0,0,0,0,0,0,2,2,5,2,6,3,3,4,5,1,1,0,0,0,0,0,0,0,0,0,4,2,1,-13.79847457579726
157,45,1,5,1,2,2,1,0,0,0,0,0,1,0,0,0,0,2,1,2,2,6,4,3,2,4,2,0,0,0,0,0,0,0,1,0,0,1,2,1,-9.98464496642959
167,69,1,5,1,3,3,0,0,1,0,0,0,0,0,0,0,0,2,3,5,2,6,3,3,4,4,2,1,0,0,0,1,0,0,0,0,0,1,2,2,-29.628596322157975
170,67,1,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,2,1,6,2,2,4,6,4,5,1,1,1,0,0,0,0,0,0,0,0,1,2,1,-13.785907713021627
